keys,en,ru
M6_COYOTE_HINT,Run off x=300 and jump within 6 ticks. Floor below catches failed attempts. No Jump Buffer.,Сбегите с края x=300 и прыгните за 6 тиков. Нижний пол ловит промахи. Буфера прыжка нет.
M6_DOUBLE_HINT,Reach the platform 270 px above the floor using a second jump. Landing restores the charge.,Доберитесь на платформу на 270 пикселей выше пола вторым прыжком. Посадка возвращает заряд.
M6_WALL_SLIDE_HINT,Spawn beside the wall. Descend without pushing; compare fall speed to the 100 px/s wall limit.,Старт у стены. Спускайтесь без нажатий; сравните скорость с пределом стены 100 пикс/с.
M6_WALL_JUMP_HINT,Jump away from the wall toward the left platform. Observe the 9-tick steering lock.,Оттолкнитесь от стены к левой платформе. Наблюдайте блокировку направления на 9 тиков.
M6_DASH_HINT,Movement selects direction. Press Dash for each attempt; floor/wall contact refills. F8 refills in air.,Движение задаёт направление. Нажимайте рывок каждый раз; пол/стена возвращают заряд. F8 — заряд в воздухе.
M6_TERMINAL_HINT,Free fall from height. Peak fall should reach 1400 px/s. Respawn to repeat.,Свободное падение с высоты. Пик скорости должен достигнуть 1400 пикс/с. Возврат повторяет тест.
M6_SLOPE_HINT,Run up and down the 26.6-degree slope and both seams. Check grounded contact and camera stability.,Пройдите склон 26.6 градуса вверх/вниз и оба стыка. Проверьте контакт с полом и камеру.
M6_STEEP_HINT,The 63.4-degree slope must slide; it is not walkable ground. Compare contacts and descent.,Склон 63.4 градуса должен вызывать скольжение; это не пол. Сравните контакты и спуск.
M6_SPEED_HINT,6000 px lane with 200 px rulers. Dash into the 8 px wall at x=5600; no tunneling. Offline only.,Дорожка 6000 пикселей с шагом 200. Рывок в стену 8 пикселей при x=5600 без проскока. Только офлайн.
M6_CONTROLS,Move: WASD / left stick · Jump: %s · Dash: %s · Hold %s 1 s: reset · Stations: PgUp/PgDn or D-pad left/right,Движение: WASD / левый стик · Прыжок: %s · Рывок: %s · %s 1 с: сброс · Станции: PgUp/PgDn или крестовина влево/вправо
M6_DIAGNOSTICS,"%s | pos %.0f / %.0f | v %.0f / %.0f | floor %s wall %s | jump %s dash %s\ncoyote %d dash %d wall lock %d end lag %d ticks | elapsed %d | peak X %.0f fall %.0f rise %.0f px | reset %.2f s","%s | поз %.0f / %.0f | v %.0f / %.0f | пол %s стена %s | прыжок %s рывок %s\ncoyote %d рывок %d стена %d задержка %d тиков | прошло %d | пик X %.0f падение %.0f высота %.0f пикс | сброс %.2f с"
M7_OPEN,M7 lifecycle,M7: смерть и чекпоинты
M7_CHECKPOINT,CHECKPOINT,ЧЕКПОИНТ
M7_SKIPPED_CHECKPOINT,Skipped mandatory checkpoint,Пропущен обязательный чекпоинт
M7_UNSAFE_RESPAWN,Unsafe respawn position,Небезопасная точка возрождения
M7_FINISH,FINISH,ФИНИШ
M7_START,Ready — start in 3 seconds,Готовность — старт через 3 секунды
M7_GO,GO!,СТАРТ!
M7_HINT,M7: cyan checkpoints → jump red hazard → yellow finish. F6 death / hold R 1s restart / Esc M6,M7: голубые чекпоинты → прыжок над красной зоной → жёлтый финиш. F6 смерть / R 1с рестарт / Esc M6
M6_ONE_WAY,13 · One-way platform,13 · Односторонняя платформа
M6_ONE_WAY_HINT,Jump through the green surface from below and land on top.,Прыгните сквозь платформу снизу и приземлитесь сверху.
M6_MOVING,14 · Moving platform,14 · Движущаяся платформа
M6_MOVING_HINT,Ride the route with waits and reversal. Respawn remains on static ground.,Проедьте маршрут с остановками и возвратом. Возрождение только на статическом полу.
M6_BREAKABLE,15 · Temporary platform,15 · Исчезающая платформа
M6_BREAKABLE_HINT,Land to arm: amber warning then disappearance. Restoration waits for clearance.,Приземлитесь: жёлтый сигнал и исчезновение. Восстановление ждёт освобождения объёма.
M6_JUMP_PAD,16 · Jump Pads,16 · Прыжковые панели
M6_JUMP_PAD_HINT,Land on the first pad for upward launch; the second launches diagonally.,Приземлитесь на первую панель для запуска вверх; вторая запускает по диагонали.
M6_DEATH_ZONE,17 · DeathZone,17 · Зона смерти
M6_DEATH_ZONE_HINT,Red area kills after immunity expires; automatic safe respawn.,Красная зона убивает после неуязвимости; автоматическое безопасное возрождение.
M6_SPIKES,18 · Spikes: static / timed / trigger,18 · Шипы: статические / таймер / триггер
M6_SPIKES_HINT,Three variants left to right. Cyan box triggers the third; amber warns before extension.,Три варианта слева направо. Голубая рамка включает третий; жёлтый сигнал перед выдвижением.
M6_SAWS,19 · Saws: static / path,19 · Пилы: статическая / маршрут
M6_SAWS_HINT,Jump over the static saw and watch the moving saw route with waits.,Перепрыгните статическую пилу и проверьте маршрут движущейся с остановками.
M6_LASERS,20 · Lasers: permanent / cyclic,20 · Лазеры: постоянный / циклический
M6_LASERS_HINT,First beam is permanent; second warns in amber before firing. Jump over or wait.,Первый луч постоянный; второй предупреждает жёлтым. Перепрыгните или дождитесь паузы.
M6_TURRETS,21 · Dual-channel turret,21 · Турель: два канала
M6_TURRETS_HINT,Cyan barrel targets you; purple targets the independent idle test player. Warning locks direction.,Голубой ствол целится в вас; фиолетовый — в независимого тестового игрока. Сигнал фиксирует направление.
M6_HAZARD_CAPS,22 · Turret caps / pool,22 · Лимиты турелей / пул
M6_HAZARD_CAPS_HINT,Four turrets and slow rounds: at most three engage each player; 5 rounds per target / 10 total.,Четыре турели с медленными снарядами: до трёх атакуют игрока; 5 снарядов на цель / 10 всего.
TT_SOLO,Solo · Time Trial,Соло · На время
TT_SELECT,Map Select,Выбор карты
TT_MAP,Training Circuit,Тренировочный маршрут
TT_MAP_DESCRIPTION,A short course with two mandatory checkpoints. Jump over spikes and evade the turret.,Короткий маршрут с двумя обязательными чекпоинтами. Перепрыгните шипы и уклонитесь от турели.
TT_CONTROLS,Controls,Управление
TT_LANGUAGE,English / Русский,English / Русский
TT_QUIT,Quit,Выход
TT_MENU,Main Menu,Главное меню
TT_PB,PB: %s,Рекорд: %s
UI_MAP_PB,Personal best: %s,Личный рекорд: %s
TT_READY,Ready — start countdown,Готов — начать отсчёт
TT_HINT,"Move / aim: %s · %s (vertical aim uses movement up/down). Jump: %s. Dash: %s — fresh press. Hold %s for 0.5s to restart. Timer continues through death. Pause: %s.","Движение / прицел: %s · %s (вертикальный прицел — вверх/вниз). Прыжок: %s. Рывок: %s — новое нажатие. Удерживайте %s 0.5 с для рестарта. Смерть не останавливает время. Пауза: %s."
TT_RESULTS,Run Results,Результаты попытки
TT_NEW_PB,NEW PERSONAL BEST,НОВЫЙ ЛИЧНЫЙ РЕКОРД
TT_COMPLETE,Run complete,Попытка завершена
TT_INVALID,Developer manipulation — record invalid,Изменение геймплея — рекорд недействителен
TT_SAVE_FAILED,Record could not be saved. Previous PB is preserved.,Не удалось сохранить рекорд. Предыдущий рекорд сохранён.
TT_PB_DELTA,Delta vs previous PB: %s,Разница с прежним рекордом: %s
TT_DEATHS,Deaths this run: %d,Смертей за попытку: %d
TT_SPLIT,Checkpoint %d · %s · %s,Чекпоинт %d · %s · %s
TT_RETRY,Retry,Повторить
TT_PAUSED,Paused,Пауза
TT_RESUME,Resume,Продолжить
TT_REBIND_HELP,Select an action then press a key or gamepad button on the active device.,Выберите действие и нажмите клавишу или кнопку активного устройства.
TT_PRESS_BINDING,Waiting for input…,Ожидание ввода…
TT_BIND_JUMP,Jump,Прыжок
TT_BIND_DASH,Dash,Рывок
TT_BIND_RESTART,Quick Restart,Быстрый рестарт
TT_BIND_PAUSE,Pause,Пауза
UI_MAIN_MENU,Main Menu,Главное меню
UI_SPLASH,PRECISION / MOMENTUM / CONTROL,ТОЧНОСТЬ / СКОРОСТЬ / КОНТРОЛЬ
UI_NAV,%s Confirm     •     %s Back     •     %s Next field,%s Выбрать     •     %s Назад     •     %s Следующее поле
UI_CONTINUE,Continue,Продолжить
UI_LANGUAGE,Language,Язык
UI_WELCOME,Welcome. Choose your language to begin.,Добро пожаловать. Выберите язык.
UI_ENGLISH,English,English
UI_RUSSIAN,Русский,Русский
UI_PROFILE,Profile,Профиль
UI_NEW_GAME,New Game,Новая игра
UI_CUSTOMIZATION,Customization,Внешний вид
UI_SETTINGS,Settings,Настройки
UI_EDITOR,Level Editor,Редактор уровней
UI_SOLO_DESCRIPTION,Train your movement. Race your personal best.,Оттачивайте движение. Улучшайте личный рекорд.
UI_ONLINE,Online,По сети
UI_BACK,Back,Назад
UI_IN_DEVELOPMENT,In Development,В разработке
UI_CREATE_LOBBY,Create Lobby,Создать лобби
UI_JOIN_LOBBY,Join Lobby,Войти в лобби
UI_MAP_METADATA,Official circuit • %s • version %d,Официальная трасса • %s • версия %d
UI_MAP_AVAILABILITY,Available for local Solo Time Trial.,Доступна для локального Solo Time Trial.
UI_MAP_TIMING,Expected: ~%d seconds • Par: %s,Ориентир: ~%d с • Пар: %s
UI_VIDEO,Video,Видео
UI_AUDIO,Audio,Звук
UI_ACCESSIBILITY,Accessibility,Специальные возможности
UI_EDITOR_DESCRIPTION,Build your own routes in a future update. The editor is not available in this build.,Создание собственных трасс появится в будущем обновлении. В этой сборке редактор недоступен.
UI_SETUP_PROFILE,Your pilot profile,Ваш профиль пилота
UI_NAME_RULES,Nickname: 3–15 Latin or Cyrillic letters / digits / spaces / _ / -. Duplicate names are allowed.,Имя: 3–15 букв латиницы или кириллицы / цифр / пробелов / _ / -. Повторяющиеся имена разрешены.
UI_IDENTITY,Local identity: %s,Локальный ID: %s
UI_INVALID_NAME,Enter a valid nickname. Emoji and special symbols are not allowed.,Введите допустимое имя. Эмодзи и специальные символы запрещены.
UI_SAVE,Save,Сохранить
UI_CANCEL,Cancel,Отмена
UI_KEYBOARD,On-screen keyboard,Экранная клавиатура
UI_ALPHABET,EN / РУ,EN / РУ
UI_SPACE,Space,Пробел
UI_DELETE,Delete,Удалить
UI_DONE,Done,Готово
UI_QUIT_CONFIRM,Quit ProjectVelocity?,Выйти из ProjectVelocity?
UI_COLOR_HELP,Adjust RGB channels with Left / Right. Use Up / Down or Tab / shoulder buttons to move between channels.,Меняйте RGB стрелками влево / вправо. Переход между каналами: вверх / вниз или Tab / плечевые кнопки.
UI_BODY,Body color,Цвет корпуса
UI_ACCENT,Emissive color,Цвет подсветки
UI_COSMETICS_UNAVAILABLE,Base robot modules • additional cosmetic parts are not available yet.,Базовые модули робота • дополнительные косметические детали пока недоступны.
UI_CASE,Aa / Аа,Aa / Аа
UI_NORMAL,Normal,Обычная
UI_DIFFICULTY,Difficulty: %s,Сложность: %s
SET_APPLY,Apply,Применить
SET_DEFAULTS,Restore defaults,По умолчанию
SET_SAVED,Settings saved.,Настройки сохранены.
SET_DISPLAY_FAILED,Display mode unavailable. Previous working window restored.,Режим недоступен. Возвращено рабочее окно.
SET_RESOLUTION,Resolution,Разрешение
SET_WINDOW,Window mode,Режим окна
SET_WINDOWED,Windowed,Оконный
SET_FULLSCREEN,Fullscreen,Полный экран
SET_BORDERLESS,Borderless fullscreen,Полный экран без рамки
SET_VSYNC,VSync,Вертикальная синхронизация
SET_FPS,FPS limit,Ограничение FPS
SET_UNLIMITED,Unlimited,Без ограничения
SET_QUALITY,Effects quality / Steam Deck preset,Качество эффектов / пресет Steam Deck
SET_QUALITY_HIGH,Quality,Качество
SET_BALANCED,Balanced,Баланс
SET_PERFORMANCE,Performance,Производительность
SET_DECK_NOTE,Visual settings only. Steam Deck hardware performance has not been verified.,Только визуальные настройки. Производительность на Steam Deck не проверена.
SET_POST,Post / camera effect intensity,Интенсивность постэффектов камеры
SET_SPEED,Speed effect intensity,Интенсивность эффекта скорости
SET_OFF,Off,Выкл.
SET_LOW,Low,Низкая
SET_MEDIUM,Medium,Средняя
SET_HIGH,High,Высокая
SET_SHAKE,Screen shake,Тряска экрана
SET_UI_SCALE,UI scale,Масштаб интерфейса
SET_HUD,HUD opacity,Непрозрачность HUD
SET_ASPECT_NOTE,Competitive view stays 16:9. Wider and taller displays use bars.,Обзор остаётся 16:9. На широких и высоких экранах используются полосы.
SET_CONTRAST,High contrast,Высокая контрастность
SET_FLASH,Flash intensity,Интенсивность вспышек
SET_NO_FLASH,Disable strong flashes,Отключить сильные вспышки
SET_COLORBLIND,Colorblind correction,Цветокоррекция при дальтонизме
SET_PROTANOPIA,Protanopia,Протанопия
SET_DEUTERANOPIA,Deuteranopia,Дейтеранопия
SET_TRITANOPIA,Tritanopia,Тританопия
SET_TEXT,Text size,Размер текста
SET_BUS_MASTER,Master volume,Общая громкость
SET_BUS_MUSIC,Music volume,Громкость музыки
SET_BUS_SFX,SFX volume,Громкость эффектов
SET_BUS_UI,UI volume,Громкость интерфейса
SET_BUS_AMBIENCE,Ambience volume,Громкость окружения
SET_MUTE_MASTER,Mute Master,Выключить весь звук
SET_MUTE_MUSIC,Mute Music,Выключить музыку
SET_MUTE_SFX,Mute SFX,Выключить эффекты
SET_MUTE_UI,Mute UI,Выключить звук интерфейса
SET_MUTE_AMBIENCE,Mute Ambience,Выключить звук окружения
SET_AUDIO_NOTE,Music and ambience slots are prepared. Final audio content is not included.,Слоты музыки и окружения подготовлены. Финальный звуковой контент пока отсутствует.
SET_PROFILE_KEYBOARD,Profile: Keyboard / mouse,Профиль: клавиатура / мышь
SET_PROFILE_GAMEPAD,Profile: Gamepad,Профиль: контроллер
SET_ACTION_MOVE_LEFT,Move / aim left,Движение / направление влево
SET_ACTION_MOVE_RIGHT,Move / aim right,Движение / направление вправо
SET_ACTION_MOVE_UP,Aim up,Направление вверх
SET_ACTION_MOVE_DOWN,Aim down,Направление вниз
SET_ACTION_JUMP,Jump,Прыжок
SET_ACTION_DASH,Dash,Рывок
SET_ACTION_PAUSE,Pause,Пауза
SET_ACTION_RESTART,Quick Restart,Быстрый рестарт
SET_ACTION_UI_LEFT,UI left,Интерфейс: влево
SET_ACTION_UI_RIGHT,UI right,Интерфейс: вправо
SET_ACTION_UI_UP,UI up,Интерфейс: вверх
SET_ACTION_UI_DOWN,UI down,Интерфейс: вниз
SET_ACTION_UI_ACCEPT,UI confirm,Интерфейс: подтверждение
SET_ACTION_UI_CANCEL,UI back,Интерфейс: назад
SET_ACTION_UI_FOCUS_NEXT,Next field,Следующее поле
SET_ACTION_UI_FOCUS_PREV,Previous field,Предыдущее поле
SET_DEADZONE_MOVEMENT,Movement deadzone,Мёртвая зона движения
SET_DEADZONE_DASH,Dash aim deadzone,Мёртвая зона направления рывка
SET_DEADZONE_ACTIVITY,Device activity threshold,Порог активности контроллера
SET_PROMPTS,Controller prompts,Подсказки контроллера
SET_AUTO,Automatic,Автоматически
SET_GENERIC,Generic,Универсальные
SET_RESET_PROFILE,Reset this profile,Сбросить этот профиль
SET_CONFIRM_DISPLAY,Keep this display mode?,Сохранить этот режим экрана?
SET_CONFIRM_HELP,Reverts in 15 seconds without confirmation. Back or focus loss also reverts.,Без подтверждения возврат через 15 секунд. Назад или потеря фокуса также отменяют режим.
SET_KEEP,Keep,Оставить
SET_REVERT,Revert,Вернуть
SET_NATIVE_NOTE,Resolution sets game rendering quality in every window mode. Interface size and camera view stay unchanged.,Разрешение задаёт качество отрисовки игры во всех режимах окна. Размер интерфейса и обзор камеры не меняются.
SET_DRAFT_HELP,Apply saves changes. Cancel discards changes since the last Apply. Bindings are previewed while editing.,Применить сохраняет изменения. Отмена возвращает последние сохранённые значения. Назначения ввода действуют пробно во время редактирования.
SET_REVERTED,Previous display configuration restored.,Возвращены предыдущие параметры экрана.
MAP_INVALID,This map could not be loaded. Its structure or resources are invalid.,Карта не загружена. Некорректная структура или ресурсы.
MAP_CHECKSUM_ERROR,Map content does not match its version and checksum. Reinstall the correct map.,Содержимое карты не соответствует версии и контрольной сумме. Установите правильную карту.
IND_MAP,Foundry Run,Литейный маршрут
IND_DESCRIPTION,Cross the concrete foundry: gantries shafts cranes and the live production line.,Пройдите бетонный комбинат: эстакады шахты краны и действующую производственную линию.
IND_SECTION_1,01 / RECEIVING YARD,01 / ПРИЁМНЫЙ ДВОР
IND_SECTION_2,02 / GANTRIES,02 / ЭСТАКАДЫ
IND_SECTION_3,03 / VENTILATION SHAFT,03 / ВЕНТИЛЯЦИОННАЯ ШАХТА
IND_SECTION_4,04 / TRANSFER SPAN,04 / ПЕРЕГРУЗОЧНЫЙ ПРОЛЁТ
IND_SECTION_5,05 / CRANE HALL,05 / КРАНОВЫЙ ЦЕХ
IND_SECTION_6,06 / PRESS LIFT,06 / ПОДЪЁМ ПРЕССА
IND_SECTION_7,07 / LIVE LINE,07 / ДЕЙСТВУЮЩАЯ ЛИНИЯ
IND_SECTION_8,08 / DISPATCH,08 / ВЫПУСКНОЙ ДВОР
IND_LOW_JUMP,LOW DUCT / short jump →,НИЗКИЙ ПРОХОД / короткий прыжок →
IND_GAP,LOADING PIT →,ПОГРУЗОЧНАЯ ЯМА →
IND_ONE_WAY,GANTRY / jump through ↑,ЭСТАКАДА / прыжок снизу ↑
IND_WALL,SHAFT / wall jump ↑,ШАХТА / прыжок от стены ↑
IND_SHORTCUT,EXPRESS / upper ledge + Dash ↗,ЭКСПРЕСС / верхняя площадка + Dash ↗
IND_DASH,TRANSFER / double jump + Dash →,ПРОЛЁТ / двойной прыжок + Dash →
IND_MOVING,CRANE / land on the shuttle →,КРАН / посадка на платформу →
IND_PAD,Jump Pad / hold jump then jump again ↑,Jump Pad / держите прыжок и прыгните ещё ↑
IND_LASER,LIVE LINE / watch the warning →,ЛИНИЯ / следите за предупреждением →
IND_COVER,COVER / break line of sight →,УКРЫТИЕ / прервите линию огня →
IND_FINAL,DISPATCH / final stretch →,ВЫПУСК / финишная прямая →
EOS_UNAVAILABLE,Online unavailable: EOS setup and compatibility review required,Онлайн недоступен: требуется настройка и проверка EOS
EOS_LINK_REQUIRED,Account linking requires a separate explicit flow,Привязка аккаунта требует отдельного подтверждения
EOS_AUTH_FAILED,Sign-in failed,Не удалось войти
EOS_TIMEOUT,Online operation timed out,Время ожидания истекло
EOS_SEARCH_FAILED,Could not verify lobby search,Не удалось проверить поиск лобби
EOS_CODE_AMBIGUOUS,Code conflict: ask the host to create a new lobby,Код совпал: попросите хоста создать новое лобби
EOS_NOT_FOUND,No compatible available lobby found,Подходящее свободное лобби не найдено
EOS_JOIN_FAILED,Could not join the lobby,Не удалось войти в лобби
EOS_BACKPRESSURE,Connection queue is busy,Очередь соединения заполнена
